,ID,Kingdom,Type,Partition,CS
0,Q8TF40,1,NO_SP,0,0
1,Q1ENB6,1,NO_SP,1,0
2,Q9BZS1,1,NO_SP,0,0
3,F4K2A1,1,NO_SP,0,0
4,Q9SZL8,1,NO_SP,3,0
5,O82533,1,NO_SP,2,0
6,Q8UVD9,1,NO_SP,4,0
7,Q99PF5,1,NO_SP,4,0
8,Q6EWH2,1,NO_SP,3,0
9,P53913,1,NO_SP,4,0
10,O60318,1,NO_SP,0,0
11,Q7Z7B0,1,NO_SP,3,0
12,Q6P8X9,1,NO_SP,0,0
13,P53233,1,NO_SP,3,0
14,Q8W493,1,NO_SP,3,0
15,Q05932,1,NO_SP,2,0
16,O00358,1,NO_SP,4,0
17,P32614,1,NO_SP,4,0
18,Q9ASS2,1,NO_SP,1,0
19,Q9C0B1,1,NO_SP,4,0
20,Q9FV81,1,NO_SP,0,0
21,Q9UT77,1,NO_SP,4,0
22,Q9M365,1,NO_SP,4,0
23,Q8BY35,1,NO_SP,1,0
24,Q945P0,1,NO_SP,4,0
25,Q5HY92,1,NO_SP,0,0
26,Q9LGE3,1,NO_SP,4,0
27,F4IMQ0,1,NO_SP,3,0
28,O35943,1,NO_SP,2,0
29,Q3E7I5,1,NO_SP,0,0
30,Q6NQJ7,1,NO_SP,2,0
31,Q5TBA9,1,NO_SP,2,0
32,O95073,1,NO_SP,4,0
33,Q75W17,1,NO_SP,1,0
34,Q9H469,1,NO_SP,4,0
35,Q6P050,1,NO_SP,4,0
36,Q9UTG6,1,NO_SP,1,0
37,Q9CZS3,1,NO_SP,0,0
38,O43524,1,NO_SP,1,0
39,Q8W035,1,NO_SP,4,0
40,Q14331,1,NO_SP,2,0
41,P42685,1,NO_SP,0,0
42,Q9UTP3,1,NO_SP,3,0
43,Q42545,1,NO_SP,1,0
44,Q8N1E6,1,NO_SP,1,0
45,Q06179,1,NO_SP,2,0
46,P32785,1,NO_SP,3,0
47,A2RVV7,1,NO_SP,3,0
48,Q9P7X3,1,NO_SP,0,0
49,Q86XJ1,1,NO_SP,3,0
50,P24522,1,NO_SP,2,0
51,Q6YWF1,1,NO_SP,2,0
52,P14234,1,NO_SP,1,0
53,Q2V2M9,1,NO_SP,0,0
54,Q9LT47,1,NO_SP,3,0
55,O74191,1,NO_SP,0,0
56,O14276,1,NO_SP,1,0
57,Q920R4,1,NO_SP,0,0
58,Q8K3Q3,1,NO_SP,4,0
59,Q95V55,1,NO_SP,0,0
60,Q9H334,1,NO_SP,2,0
61,Q9ZR07,1,NO_SP,2,0
62,Q07540,1,NO_SP,2,0
63,Q5SYB0,1,NO_SP,3,0
64,Q9UQC2,1,NO_SP,3,0
65,Q15007,1,NO_SP,4,0
66,P36141,1,NO_SP,1,0
67,O16850,1,NO_SP,1,0
68,F4J2K2,1,NO_SP,3,0
69,O95684,1,NO_SP,4,0
70,Q96NE9,1,NO_SP,2,0
71,Q3EBQ3,1,NO_SP,2,0
72,Q9ZVC9,1,NO_SP,1,0
73,Q9S793,1,NO_SP,3,0
74,Q8VZS9,1,NO_SP,4,0
75,O36024,1,NO_SP,4,0
76,P40099,1,NO_SP,2,0
77,Q68CZ1,1,NO_SP,2,0
78,Q9GPZ7,1,NO_SP,0,0
79,Q12247,1,NO_SP,1,0
80,Q8GVZ6,1,NO_SP,4,0
81,P33893,1,NO_SP,0,0
82,Q9FWR5,1,NO_SP,1,0
83,P15442,1,NO_SP,0,0
84,Q96RT7,1,NO_SP,2,0
85,O46567,1,NO_SP,0,0
86,Q9SY66,1,NO_SP,4,0
87,Q8N4E7,1,NO_SP,4,0
88,O74972,1,NO_SP,3,0
89,Q7L622,1,NO_SP,3,0
90,Q9W3Y4,1,NO_SP,2,0
91,Q04739,1,NO_SP,1,0
92,F4JV80,1,NO_SP,1,0
93,O43716,1,NO_SP,1,0
94,Q8WUU5,1,NO_SP,4,0
95,Q84P53,1,NO_SP,0,0
96,Q8SY33,1,NO_SP,4,0
97,P62879,1,NO_SP,0,0
98,Q9HDV9,1,NO_SP,2,0
99,O80988,1,NO_SP,2,0
100,P38812,1,NO_SP,3,0
101,P30047,1,NO_SP,1,0
102,Q9LR30,1,NO_SP,2,0
103,P38783,1,NO_SP,1,0
104,Q8CA72,1,NO_SP,3,0
105,Q94CE5,1,NO_SP,3,0
106,Q9SMN1,1,NO_SP,0,0
107,Q06625,1,NO_SP,1,0
108,P39993,1,NO_SP,2,0
109,Q09733,1,NO_SP,2,0
110,Q9VVX0,1,NO_SP,4,0
111,Q9H840,1,NO_SP,0,0
112,P55163,1,NO_SP,3,0
113,Q9P7R5,1,NO_SP,0,0
114,Q9M0A7,1,NO_SP,2,0
115,Q9LUD9,1,NO_SP,3,0
116,P27469,1,NO_SP,1,0
117,Q8H103,1,NO_SP,3,0
118,A6NHX0,1,NO_SP,0,0
119,Q84P54,1,NO_SP,0,0
120,P97265,1,NO_SP,0,0
121,P49177,1,NO_SP,0,0
122,Q9SJU9,1,NO_SP,3,0
123,P33892,1,NO_SP,1,0
124,Q9C104,1,NO_SP,4,0
125,Q8TEQ6,1,NO_SP,3,0
126,Q03555,1,NO_SP,4,0
127,Q8GWW8,1,NO_SP,1,0
128,Q8RWE8,1,NO_SP,3,0
129,P28007,1,NO_SP,4,0
130,Q8WXD5,1,NO_SP,4,0
131,P34802,1,NO_SP,2,0
132,P34689,1,NO_SP,1,0
133,Q9M350,1,NO_SP,2,0
134,Q7XJ96,1,NO_SP,1,0
135,Q9H0R6,1,NO_SP,4,0
136,P35573,1,NO_SP,2,0
137,Q9USN5,1,NO_SP,1,0
138,Q32NR9,1,NO_SP,3,0
139,Q9SSQ4,1,NO_SP,3,0
140,Q14397,1,NO_SP,2,0
141,A3C6G9,1,NO_SP,0,0
142,Q02979,1,NO_SP,2,0
143,Q09785,1,NO_SP,4,0
144,A4FVR1,1,NO_SP,2,0
145,O13702,1,NO_SP,1,0
146,Q93YV0,1,NO_SP,4,0
147,O22043,1,NO_SP,0,0
148,Q12315,1,NO_SP,0,0
149,Q61602,1,NO_SP,3,0
150,Q9SGA2,1,NO_SP,1,0
151,O59679,1,NO_SP,0,0
152,Q8IS21,1,NO_SP,3,0
153,D3YN49,1,NO_SP,3,0
154,O23647,1,NO_SP,4,0
155,Q0VGT2,1,NO_SP,2,0
156,Q9ZST4,1,NO_SP,0,0
157,Q9VD44,1,NO_SP,2,0
158,G5EFL0,1,NO_SP,1,0
159,Q0WPZ7,1,NO_SP,4,0
160,O94652,1,NO_SP,1,0
161,Q43127,1,NO_SP,3,0
162,Q10CE4,1,NO_SP,0,0
163,Q9LU39,1,NO_SP,4,0
164,P25157,1,NO_SP,2,0
165,P29348,1,NO_SP,3,0
166,Q03557,1,NO_SP,1,0
167,O75879,1,NO_SP,2,0
168,P53260,1,NO_SP,1,0
169,Q04839,1,NO_SP,2,0
170,Q12263,1,NO_SP,3,0
171,Q9VYS4,1,NO_SP,0,0
172,O17087,1,NO_SP,2,0
173,D2WL32,1,NO_SP,4,0
174,Q6PBM1,1,NO_SP,4,0
175,Q9LSV0,1,NO_SP,1,0
176,Q2QPW1,1,NO_SP,4,0
177,Q6PGG6,1,NO_SP,1,0
178,Q811S9,1,NO_SP,1,0
179,Q99JY3,1,NO_SP,4,0
180,Q2KIR7,1,NO_SP,2,0
181,Q94JQ3,1,NO_SP,4,0
182,G5EEN4,1,NO_SP,1,0
183,Q9Y7U3,1,NO_SP,3,0
184,Q8IVS8,1,NO_SP,2,0
185,Q9FFH0,1,NO_SP,1,0
186,P39726,1,NO_SP,3,0
187,Q5ZR76,1,NO_SP,3,0
188,Q9NWZ8,1,NO_SP,0,0
189,Q58EE9,1,NO_SP,1,0
190,P14136,1,NO_SP,1,0
191,Q59VM7,1,NO_SP,3,0
192,Q16775,1,NO_SP,3,0
193,Q9UI32,1,NO_SP,3,0
194,Q9C102,1,NO_SP,3,0
195,Q12393,1,NO_SP,0,0
196,Q9FN69,1,NO_SP,1,0
197,Q95ZK7,1,NO_SP,2,0
198,Q53GS7,1,NO_SP,4,0
199,Q9LZS3,1,NO_SP,4,0
200,Q9DB00,1,NO_SP,0,0
201,P46984,1,NO_SP,0,0
202,F4JTE7,1,NO_SP,2,0
203,P81274,1,NO_SP,0,0
204,Q9NW75,1,NO_SP,3,0
205,O75791,1,NO_SP,2,0
206,Q14449,1,NO_SP,3,0
207,Q03160,1,NO_SP,4,0
208,Q84Y95,1,NO_SP,1,0
209,Q9BQ67,1,NO_SP,4,0
210,Q8L7C9,1,NO_SP,3,0
211,D2XV59,1,NO_SP,3,0
212,Q0JKD0,1,NO_SP,3,0
213,Q9LV03,1,NO_SP,0,0
214,Q94C74,1,NO_SP,0,0
215,F3Y5P4,1,NO_SP,1,0
216,Q3V6T2,1,NO_SP,2,0
217,Q03569,1,NO_SP,2,0
218,Q8R4T5,1,NO_SP,3,0
219,Q8GWS0,1,NO_SP,2,0
220,Q923K4,1,NO_SP,1,0
221,Q69RJ0,1,NO_SP,1,0
222,P34897,1,NO_SP,2,0
223,P39717,1,NO_SP,2,0
224,P15505,1,NO_SP,0,0
225,Q9SCX9,1,NO_SP,1,0
226,P32191,1,NO_SP,0,0
227,P36970,1,NO_SP,0,0
228,Q60760,1,NO_SP,3,0
229,Q08622,1,NO_SP,1,0
230,E5RQA1,1,NO_SP,2,0
231,Q22663,1,NO_SP,1,0
232,Q86SX6,1,NO_SP,0,0
233,Q8TAX9,1,NO_SP,1,0
234,Q60EZ2,1,NO_SP,2,0
235,Q9Y2Q3,1,NO_SP,2,0
236,O76003,1,NO_SP,4,0
237,Q8IX06,1,NO_SP,0,0
238,P17695,1,NO_SP,0,0
239,Q03460,1,NO_SP,0,0
240,P46309,1,NO_SP,1,0
241,Q9LX31,1,NO_SP,0,0
242,Q04322,1,NO_SP,0,0
243,Q9VXG1,1,NO_SP,1,0
244,P0CS82,1,NO_SP,1,0
245,Q99714,1,NO_SP,2,0
246,Q0J7P4,1,NO_SP,3,0
247,Q568P9,1,NO_SP,4,0
248,C8V4D4,1,NO_SP,2,0
249,Q8LF89,1,NO_SP,1,0
250,Q94BZ7,1,NO_SP,3,0
251,P34470,1,NO_SP,0,0
252,O14092,1,NO_SP,3,0
253,O04921,1,NO_SP,1,0
254,F4KDN0,1,NO_SP,4,0
255,Q9C882,1,NO_SP,3,0
256,Q80SU7,1,NO_SP,0,0
257,Q8H991,1,NO_SP,1,0
258,Q76N89,1,NO_SP,3,0
259,Q6NVF4,1,NO_SP,4,0
260,Q60848,1,NO_SP,1,0
261,Q9BYK8,1,NO_SP,1,0
262,P09211,1,NO_SP,1,0
263,Q84XV2,1,NO_SP,2,0
264,A4D1E9,1,NO_SP,4,0
265,Q9UBP9,1,NO_SP,3,0
266,Q9SAC6,1,NO_SP,0,0
267,Q5YLB4,1,NO_SP,3,0
268,Q96MB7,1,NO_SP,1,0
269,Q96CS2,1,NO_SP,4,0
270,Q9H6D7,1,NO_SP,1,0
271,Q03385,1,NO_SP,4,0
272,Q8C0L9,1,NO_SP,2,0
273,P90551,1,NO_SP,0,0
274,A2XA73,1,NO_SP,1,0
275,P08992,1,NO_SP,0,0
276,P28676,1,NO_SP,4,0
277,Q07845,1,NO_SP,1,0
278,Q93V58,1,NO_SP,4,0
279,A8E0R9,1,NO_SP,3,0
280,Q62833,1,NO_SP,3,0
281,P27456,1,NO_SP,1,0
282,P38646,1,NO_SP,1,0
283,Q8LBK6,1,NO_SP,2,0
284,Q9NZM5,1,NO_SP,3,0
285,Q9M2W2,1,NO_SP,3,0
286,Q9FGW9,1,NO_SP,0,0
287,P53258,1,NO_SP,1,0
288,Q9SS38,1,NO_SP,0,0
289,Q9I9R0,1,NO_SP,3,0
290,Q75N03,1,NO_SP,4,0
291,Q8H7F6,1,NO_SP,4,0
292,Q9CAF6,1,NO_SP,1,0
293,Q5YLB5,1,NO_SP,4,0
294,Q0WP44,1,NO_SP,0,0
295,O94927,1,NO_SP,2,0
296,Q9V4C8,1,NO_SP,4,0
297,Q9SL92,1,NO_SP,2,0
298,Q6K678,1,NO_SP,2,0
299,Q9Y5Z4,1,NO_SP,2,0
300,Q8NEC7,1,NO_SP,2,0
301,Q07729,1,NO_SP,3,0
302,A1Z6E0,1,NO_SP,4,0
303,Q9AWA5,1,NO_SP,0,0
304,Q07653,1,NO_SP,3,0
305,P34243,1,NO_SP,1,0
306,Q5A960,1,NO_SP,4,0
307,Q8MT06,1,NO_SP,1,0
308,Q96266,1,NO_SP,0,0
309,Q6NMS0,1,NO_SP,4,0
310,Q9FNM5,1,NO_SP,3,0
311,P48566,1,NO_SP,1,0
312,P00348,1,NO_SP,3,0
313,Q852L0,1,NO_SP,2,0
314,Q9H583,1,NO_SP,2,0
315,O48721,1,NO_SP,3,0
316,Q91898,1,NO_SP,1,0
317,P87315,1,NO_SP,3,0
318,Q9LZR5,1,NO_SP,0,0
319,Q3U487,1,NO_SP,1,0
320,Q9P2P5,1,NO_SP,1,0
321,Q9ZVW2,1,NO_SP,2,0
322,Q230X8,1,NO_SP,3,0
323,F4K1R2,1,NO_SP,3,0
324,Q9FJH5,1,NO_SP,4,0
325,Q6NPM8,1,NO_SP,3,0
326,Q22717,1,NO_SP,0,0
327,Q9Z130,1,NO_SP,3,0
328,P52272,1,NO_SP,0,0
329,Q8WNR4,1,NO_SP,3,0
330,Q9NVX0,1,NO_SP,4,0
331,Q99871,1,NO_SP,2,0
332,Q3UMU9,1,NO_SP,2,0
333,F4HRI2,1,NO_SP,1,0
334,P42804,1,NO_SP,3,0
335,Q9C5Q8,1,NO_SP,3,0
336,Q12276,1,NO_SP,1,0
337,Q9LS00,1,NO_SP,2,0
338,Q0E908,1,NO_SP,3,0
339,Q03532,1,NO_SP,4,0
340,P22557,1,NO_SP,0,0
341,Q9LR75,1,NO_SP,3,0
342,P42043,1,NO_SP,2,0
343,F2Z461,1,NO_SP,2,0
344,O94992,1,NO_SP,0,0
345,Q9JJ50,1,NO_SP,1,0
346,Q3HNG7,1,NO_SP,3,0
347,Q12180,1,NO_SP,4,0
348,Q64279,1,NO_SP,1,0
349,Q68CZ6,1,NO_SP,3,0
350,Q7Z4H7,1,NO_SP,3,0
351,Q8GS60,1,NO_SP,1,0
352,P14317,1,NO_SP,0,0
353,P09950,1,NO_SP,3,0
354,Q3B7D0,1,NO_SP,4,0
355,O80528,1,NO_SP,0,0
356,Q9BT25,1,NO_SP,3,0
357,Q9SR77,1,NO_SP,1,0
358,Q5GLZ8,1,NO_SP,2,0
359,Q9H422,1,NO_SP,1,0
360,Q7Z2G1,1,NO_SP,3,0
361,E9QAM5,1,NO_SP,0,0
362,Q9Y5R4,1,NO_SP,4,0
363,Q9BQA5,1,NO_SP,1,0
364,Q03937,1,NO_SP,4,0
365,O59786,1,NO_SP,4,0
366,Q9UII4,1,NO_SP,3,0
367,Q8T0S6,1,NO_SP,2,0
368,P47171,1,NO_SP,2,0
369,Q9BW71,1,NO_SP,4,0
370,Q93Z17,1,NO_SP,0,0
371,O48782,1,NO_SP,3,0
372,O48722,1,NO_SP,0,0
373,Q9USN7,1,NO_SP,0,0
374,Q9BUP3,1,NO_SP,4,0
375,Q6Q5K6,1,NO_SP,2,0
376,P83776,1,NO_SP,3,0
377,Q9UTM0,1,NO_SP,4,0
378,Q94KR7,1,NO_SP,2,0
379,Q8R5F7,1,NO_SP,4,0
380,P20695,1,NO_SP,3,0
381,Q9VE87,1,NO_SP,3,0
382,Q9W539,1,NO_SP,2,0
383,Q6YN16,1,NO_SP,3,0
384,Q12988,1,NO_SP,4,0
385,P34370,1,NO_SP,0,0
386,Q10439,1,NO_SP,3,0
387,F4IPE3,1,NO_SP,2,0
388,O81796,1,NO_SP,3,0
389,Q8RWL4,1,NO_SP,3,0
390,Q9BTL4,1,NO_SP,4,0
391,O82499,1,NO_SP,2,0
392,O49595,1,NO_SP,3,0
393,P93047,1,NO_SP,3,0
394,O81027,1,NO_SP,4,0
395,Q03973,1,NO_SP,2,0
396,Q84JU6,1,NO_SP,1,0
397,Q9UPZ3,1,NO_SP,1,0
398,Q05549,1,NO_SP,4,0
399,Q16082,1,NO_SP,2,0
400,Q9UJY1,1,NO_SP,4,0
401,Q09811,1,NO_SP,1,0
402,Q7TMY8,1,NO_SP,2,0
403,Q8WUF5,1,NO_SP,4,0
404,P53892,1,NO_SP,2,0
405,Q6NT76,1,NO_SP,1,0
406,P82970,1,NO_SP,0,0
407,Q9NWW0,1,NO_SP,0,0
408,Q9C9W5,1,NO_SP,0,0
