,ID,Kingdom,Type,Partition
0,Q8TF40,1,NO_SP,0
1,Q1ENB6,1,NO_SP,1
2,P36001,1,NO_SP,1
3,P55317,1,NO_SP,4
4,P35583,1,NO_SP,4
5,Q9PSY4,1,NO_SP,0
6,P55316,1,NO_SP,0
7,Q9BZS1,1,NO_SP,0
8,F4K2A1,1,NO_SP,0
9,B0YLW8,1,NO_SP,1
10,Q9SZL8,1,NO_SP,3
11,O82533,1,NO_SP,2
12,Q8UVD9,1,NO_SP,4
13,Q99PF5,1,NO_SP,4
14,P93033,1,NO_SP,1
15,Q91904,1,NO_SP,2
16,Q6EWH2,1,NO_SP,3
17,Q9URU9,1,NO_SP,4
18,P53913,1,NO_SP,4
19,O60318,1,NO_SP,0
20,Q64378,1,NO_SP,3
21,Q7Z7B0,1,NO_SP,3
22,Q6P8X9,1,NO_SP,0
23,P53233,1,NO_SP,3
24,Q06787,1,NO_SP,1
25,Q8W493,1,NO_SP,3
26,Q05932,1,NO_SP,2
27,Q12676,1,NO_SP,1
28,P21525,1,NO_SP,4
29,Q99958,1,NO_SP,2
30,O00358,1,NO_SP,4
31,P32614,1,NO_SP,4
32,Q9ASS2,1,NO_SP,1
33,Q9C0B1,1,NO_SP,4
34,Q9LXJ0,1,NO_SP,2
35,P85845,1,NO_SP,0
36,P02835,1,NO_SP,2
37,P91623,1,NO_SP,0
38,Q9FV81,1,NO_SP,0
39,Q9UT77,1,NO_SP,4
40,P49027,1,NO_SP,4
41,O42248,1,NO_SP,4
42,Q9M365,1,NO_SP,4
43,Q09312,1,NO_SP,4
44,Q2VWH6,1,NO_SP,2
45,Q8BY35,1,NO_SP,1
46,Q945P0,1,NO_SP,4
47,Q5HY92,1,NO_SP,0
48,Q8NFG4,1,NO_SP,2
49,Q9LGE3,1,NO_SP,4
50,F4IMQ0,1,NO_SP,3
51,O35943,1,NO_SP,2
52,Q3E7I5,1,NO_SP,0
53,Q6NQJ7,1,NO_SP,2
54,Q5TBA9,1,NO_SP,2
55,O95073,1,NO_SP,4
56,Q16658,1,NO_SP,0
57,Q05015,1,NO_SP,1
58,Q75W17,1,NO_SP,1
59,Q9H469,1,NO_SP,4
60,Q6P050,1,NO_SP,4
61,Q9UTG6,1,NO_SP,1
62,Q9CZS3,1,NO_SP,0
63,Q9QY14,1,NO_SP,3
64,Q9I9E1,1,NO_SP,3
65,O43524,1,NO_SP,1
66,Q8W035,1,NO_SP,4
67,Q14331,1,NO_SP,2
68,P42685,1,NO_SP,0
69,Q9UTP3,1,NO_SP,3
70,Q42545,1,NO_SP,1
71,Q9UTI1,1,NO_SP,1
72,Q8N1E6,1,NO_SP,1
73,P04406,1,NO_SP,0
74,Q06179,1,NO_SP,2
75,Q9NFU0,1,NO_SP,1
76,P32785,1,NO_SP,3
77,A2RVV7,1,NO_SP,3
78,O04862,1,NO_SP,1
79,Q70KY4,1,NO_SP,1
80,Q9P7X3,1,NO_SP,0
81,P16892,1,NO_SP,1
82,Q86XJ1,1,NO_SP,3
83,P24522,1,NO_SP,2
84,Q08605,1,NO_SP,3
85,Q6YWF1,1,NO_SP,2
86,Q8LK61,1,NO_SP,1
87,P14234,1,NO_SP,1
88,Q9SFV2,1,NO_SP,4
89,O89106,1,NO_SP,0
90,Q9WTX7,1,NO_SP,2
91,Q2V2M9,1,NO_SP,0
92,Q9LT47,1,NO_SP,3
93,O74191,1,NO_SP,0
94,Q8K4T4,1,NO_SP,3
95,Q96330,1,NO_SP,3
96,Q80TD3,1,NO_SP,0
97,Q0VG06,1,NO_SP,2
98,Q8LPQ9,1,NO_SP,4
99,Q6GLS8,1,NO_SP,2
100,Q03002,1,NO_SP,1
101,P70339,1,NO_SP,2
102,P08417,1,NO_SP,1
103,Q5BJ56,1,NO_SP,1
104,O14276,1,NO_SP,1
105,Q920R4,1,NO_SP,0
106,Q3UCQ1,1,NO_SP,4
107,P58012,1,NO_SP,0
108,Q8K3Q3,1,NO_SP,4
109,Q9R1E0,1,NO_SP,1
110,Q95V55,1,NO_SP,0
111,Q9H334,1,NO_SP,2
112,Q07825,1,NO_SP,1
113,Q9ZR07,1,NO_SP,2
114,Q16595,1,NO_SP,1
115,Q07540,1,NO_SP,2
116,P97376,1,NO_SP,2
117,Q5SYB0,1,NO_SP,3
118,Q9M8J3,1,NO_SP,0
119,D3ZXW3,1,NO_SP,4
120,P38777,1,NO_SP,4
121,Q9DEN4,1,NO_SP,4
122,Q9CZV8,1,NO_SP,2
123,Q8C7B6,1,NO_SP,4
124,P51114,1,NO_SP,1
125,Q9UQC2,1,NO_SP,3
126,P17649,1,NO_SP,0
127,Q9QVC8,1,NO_SP,3
128,Q15007,1,NO_SP,4
129,P53889,1,NO_SP,2
130,P36141,1,NO_SP,1
131,Q9P278,1,NO_SP,0
132,P55318,1,NO_SP,0
133,Q9Y261,1,NO_SP,4
134,Q13461,1,NO_SP,0
135,O16850,1,NO_SP,1
136,Q99JB6,1,NO_SP,0
137,F4J2K2,1,NO_SP,3
138,O95684,1,NO_SP,4
139,Q96NE9,1,NO_SP,2
140,P36088,1,NO_SP,3
141,Q3EBQ3,1,NO_SP,2
142,Q9ZVC9,1,NO_SP,1
143,Q9S793,1,NO_SP,3
144,Q92945,1,NO_SP,4
145,Q9PRJ8,1,NO_SP,1
146,O15117,1,NO_SP,0
147,Q8VZS9,1,NO_SP,4
148,Q32M02,1,NO_SP,0
149,O36024,1,NO_SP,4
150,P40099,1,NO_SP,2
151,Q68CZ1,1,NO_SP,2
152,Q8BGW1,1,NO_SP,4
153,Q9GPZ7,1,NO_SP,0
154,Q12247,1,NO_SP,1
155,Q8GVZ6,1,NO_SP,4
156,Q8TAE8,1,NO_SP,3
157,P83780,1,NO_SP,0
158,Q61169,1,NO_SP,3
159,P33893,1,NO_SP,0
160,Q9FWR5,1,NO_SP,1
161,P15442,1,NO_SP,0
