1,2,3,4,5,6,7,8,9
SignalP 5.0,0.771,0.688,0.812,0.812,0.671,0.702,0.732,0.732
SignalP 4.1,n.d.,n.d.,n.d.,n.d.,0.613,0.643,0.672,0.693
DeepSig,n.d.,n.d.,n.d.,n.d.,0.604,0.631,0.668,0.7
LipoP,0.484,0.375,0.516,0.562,0.159,0.178,0.194,0.207
Philius,0.425,0.362,0.438,0.438,0.151,0.168,0.182,0.191
Phobius,0.395,0.333,0.407,0.432,0.226,0.237,0.25,0.267
PolyPhobius,0.395,0.326,0.395,0.407,0.176,0.19,0.201,0.216
PrediSi,n.d.,n.d.,n.d.,n.d.,0.273,0.291,0.301,0.321
PRED-LIPO,0.455,0.364,0.5,0.515,0.069,0.083,0.11,0.131
PRED-SIGNAL,0.435,0.489,0.489,0.489,0.066,0.085,0.096,0.106
PRED-TAT,0.397,0.493,0.548,0.562,0.08,0.099,0.111,0.119
Signal-3L 2.0,n.d.,n.d.,n.d.,n.d.,0.322,0.341,0.365,0.379
Signal-CF,n.d.,n.d.,n.d.,n.d.,0.105,0.109,0.117,0.123
SOSUIsignal,n.d.,n.d.,n.d.,n.d.,0.037,0.069,0.098,0.121
SPEPlip,n.d.,n.d.,n.d.,n.d.,0.366,0.378,0.398,0.418
SCOPTOCUS,0.207,0.293,0.317,0.341,0.12,0.164,0.211,0.233
TOPCONS2,0.293,0.366,0.378,0.39,0.107,0.146,0.184,0.21
TransPep,0.236,0.472,0.636,0.672,0.203,0.375,0.551,0.609
