1,10,11,12,13,14,15,16,17
SignalP 5.0,0.742,0.775,0.809,0.809,0.6,0.6,0.629,0.629
SignalP 4.1,0.151,0.167,0.172,0.175,0.083,0.083,0.083,0.083
DeepSig,0.131,0.144,0.146,0.148,0.073,0.073,0.08,0.08
LipoP,0.327,0.342,0.351,0.351,0.153,0.153,0.163,0.163
Philius,0.106,0.112,0.119,0.122,0.054,0.054,0.054,0.054
Phobius,0.098,0.11,0.12,0.124,0.054,0.054,0.054,0.054
PolyPhobius,0.097,0.11,0.122,0.124,0.06,0.06,0.063,0.063
PrediSi,0.144,0.157,0.162,0.164,0.062,0.062,74,0.078
PRED-LIPO,0.212,0.237,0.258,0.273,0.216,0.216,0.216,0.216
PRED-SIGNAL,0.076,0.089,0.106,0.11,0.06,0.06,0.064,0.064
PRED-TAT,0.125,0.135,0.141,0.145,0.082,0.082,0.087,0.087
Signal-3L 2.0,0.113,0.123,0.127,0.129,0.074,0.074,0.08,0.078
Signal-CF,0.102,0.105,0.11,0.115,0.059,0.059,0.065,0.065
SOSUIsignal,0.04,0.055,0.086,0.094,0.018,0.021,0.025,0.039
SPEPlip,0.276,0.307,0.327,0.332,0.187,0.187,0.198,0.198
SCOPTOCUS,0.067,0.098,0.119,0.124,0.056,0.066,0.07,0.077
TOPCONS2,0.081,0.093,0.11,0.115,0.022,0.029,0.036,0.039
TransPep,0.232,0.389,0.526,0.6,0.147,0.324,0.441,0.5
