CS,Type,Org,Fold,ID,Seqlen
45.0,3,0,0,P10719,529
54.0,4,1,0,Q38786,574
17.0,2,0,0,P15289,507
22.0,2,0,1,P20933,346
24.0,3,0,1,Q9UII2,106
42.0,3,0,0,P25705,553
47.0,3,0,0,P00829,528
22.0,2,0,2,P28039,575
24.0,2,0,3,P0CX77,362
22.0,2,0,1,P30919,345
32.0,2,0,4,P01019,485
24.0,2,0,2,Q9V496,3351
25.0,2,0,1,P02654,83
7.0,3,0,1,Q04728,441
24.0,3,0,1,P01096,109
18.0,2,0,3,P17697,439
26.0,2,0,1,P02462,1669
33.0,2,0,0,P19633,406
23.0,2,0,1,P80067,462
18.0,2,0,4,P14091,396
16.0,2,0,2,P06797,334
34.0,4,1,1,P0CJ48,267
15.0,2,0,3,Q99616,98
23.0,2,0,3,P01027,1663
25.0,3,1,0,Q96252,203
53.0,3,1,1,P17614,560
21.0,3,0,0,Q12165,160
23.0,2,0,1,P02701,152
31.0,3,0,4,P18859,108
65.0,3,0,2,P00842,147
32.0,4,1,2,Q42687,219
24.0,3,0,3,P05631,298
32.0,3,0,3,P38077,311
20.0,3,1,0,Q40089,200
17.0,3,0,3,Q09544,163
21.0,2,0,2,P07457,87
16.0,2,0,0,Q03352,105
19.0,2,0,2,P18659,99
29.0,2,1,0,P24792,579
21.0,3,0,2,P01097,85
24.0,3,0,2,P22027,200
20.0,2,1,1,P19329,265
32.0,2,1,0,P14133,587
67.0,3,0,2,P07926,143
25.0,2,0,1,P18657,83
25.0,2,0,1,P56595,88
29.0,2,1,4,P83886,181
60.0,3,0,2,P32876,136
41.0,3,0,4,P13619,256
60.0,3,0,2,P17605,136
31.0,3,0,4,P21571,108
20.0,2,0,1,Q9Y240,323
21.0,2,0,2,O75596,197
13.0,2,0,1,Q9U572,1670
19.0,2,0,3,P02681,195
23.0,2,1,2,Q09117,312
14.0,2,0,1,P04653,214
14.0,2,0,3,P05814,226
14.0,2,0,3,P39037,232
14.0,2,0,3,P11839,222
21.0,2,0,0,P31231,420
18.0,2,0,4,P25796,391
14.0,2,0,2,P15086,417
20.0,2,0,0,P13671,934
20.0,2,1,4,Q6PSU2,172
18.0,2,0,2,Q9GSA4,113
23.0,3,0,4,P13183,80
15.0,3,0,1,P80432,63
24.0,3,0,2,P10176,69
24.0,3,0,2,P80433,69
38.0,3,0,1,P79202,520
31.0,3,0,2,P17178,533
27.0,3,1,4,P83372,469
21.0,2,0,3,P10909,449
44.0,3,1,2,Q39055,390
19.0,2,0,3,P03998,195
16.0,2,0,2,P42889,111
16.0,2,0,2,P02703,112
29.0,3,1,2,Q9FN42,241
55.0,3,0,3,Q16740,277
29.0,2,0,1,P22063,1040
21.0,2,0,3,P12387,1666
28.0,2,1,3,P02866,290
29.0,2,0,1,Q02246,1040
20.0,2,0,0,P02748,559
161.0,3,0,2,Q8NI60,647
24.0,3,0,0,P04037,155
36.0,3,0,0,P11240,146
19.0,3,0,4,P00424,153
30.0,3,0,0,P00428,129
29.0,3,0,0,Q710D6,128
23.0,3,0,4,P24311,80
35.0,3,0,2,P17177,535
49.0,4,1,4,Q9LJE4,596
20.0,2,0,1,Q95M17,472
21.0,2,1,3,P29060,291
26.0,2,1,4,P06215,328
15.0,2,0,4,Q9N2D2,381
20.0,2,0,0,Q86T13,490
20.0,4,1,2,Q9MV14,329
17.0,2,0,2,P10354,466
21.0,2,0,0,P02466,1372
19.0,2,0,0,P06681,752
20.0,2,0,0,P48747,557
19.0,2,0,3,P23805,371
42.0,3,0,0,P00426,152
40.0,3,0,0,P20674,150
23.0,3,0,4,P80431,80
38.0,3,0,1,P10612,520
19.0,2,0,2,Q6UX52,265
24.0,2,0,2,Q6WN34,429
31.0,2,0,3,P07141,552
25.0,3,0,2,P31081,573
25.0,2,0,2,P14944,142
18.0,2,1,4,Q9FRV1,321
21.0,2,1,4,Q05538,322
25.0,2,1,3,P23472,311
15.0,2,0,4,P00794,381
25.0,2,0,3,Q9U3Z3,70
18.0,2,0,2,Q8TDQ1,290
22.0,2,0,0,L7VIN3,69
20.0,2,0,3,P05371,447
21.0,2,0,3,P01024,1663
17.0,2,0,0,P08125,674
36.0,3,1,3,O49354,322
28.0,3,0,2,P55954,174
31.0,3,1,0,Q9SJ12,240
50.0,3,1,1,P83484,556
21.0,3,0,2,P05630,168
63.0,4,1,3,Q02758,251
74.0,4,1,2,P31853,222
23.0,2,0,2,Q2VG86,369
34.0,3,0,3,P05626,244
34.0,4,1,3,P12113,358
35.0,3,1,3,Q96251,238
44.0,3,1,3,P22778,244
61.0,4,1,3,A8J785,209
18.0,2,1,2,P80356,220
20.0,2,0,3,P21611,119
19.0,2,0,3,P61769,119
18.0,2,0,3,Q9NJ98,487
22.0,2,0,0,Q15582,683
17.0,2,0,4,Q5AMT2,308
22.0,2,0,4,P15703,313
21.0,2,0,2,P08236,651
24.0,2,0,3,P69770,94
