,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition
0,32.0,1.0,32.0,1.0,32.0,0.0
1,32.0,1.0,32.0,1.0,32.0,1.0
2,32.0,1.0,32.0,1.0,32.0,2.0
3,32.0,1.0,32.0,1.0,32.0,3.0
4,32.0,1.0,32.0,1.0,32.0,4.0
5,32.0,1.0,32.0,1.0,64.0,0.0
6,32.0,1.0,32.0,1.0,64.0,1.0
7,32.0,1.0,32.0,1.0,64.0,2.0
8,32.0,1.0,32.0,1.0,64.0,3.0
9,32.0,1.0,32.0,1.0,64.0,4.0
10,32.0,1.0,32.0,2.0,32.0,0.0
11,32.0,1.0,32.0,2.0,32.0,1.0
12,32.0,1.0,32.0,2.0,32.0,2.0
13,32.0,1.0,32.0,2.0,32.0,3.0
14,32.0,1.0,32.0,2.0,32.0,4.0
15,32.0,1.0,32.0,2.0,64.0,0.0
16,32.0,1.0,32.0,2.0,64.0,1.0
17,32.0,1.0,32.0,2.0,64.0,2.0
18,32.0,1.0,32.0,2.0,64.0,3.0
19,32.0,1.0,32.0,2.0,64.0,4.0
20,32.0,1.0,32.0,4.0,32.0,0.0
21,32.0,1.0,32.0,4.0,32.0,1.0
22,32.0,1.0,32.0,4.0,32.0,2.0
23,32.0,1.0,32.0,4.0,32.0,3.0
24,32.0,1.0,32.0,4.0,32.0,4.0
25,32.0,1.0,32.0,4.0,64.0,0.0
26,32.0,1.0,32.0,4.0,64.0,1.0
27,32.0,1.0,32.0,4.0,64.0,2.0
28,32.0,1.0,32.0,4.0,64.0,3.0
29,32.0,1.0,32.0,4.0,64.0,4.0
30,32.0,1.0,64.0,1.0,32.0,0.0
31,32.0,1.0,64.0,1.0,32.0,1.0
32,32.0,1.0,64.0,1.0,32.0,2.0
33,32.0,1.0,64.0,1.0,32.0,3.0
34,32.0,1.0,64.0,1.0,32.0,4.0
35,32.0,1.0,64.0,1.0,64.0,0.0
36,32.0,1.0,64.0,1.0,64.0,1.0
37,32.0,1.0,64.0,1.0,64.0,2.0
38,32.0,1.0,64.0,1.0,64.0,3.0
39,32.0,1.0,64.0,1.0,64.0,4.0
40,32.0,1.0,64.0,2.0,32.0,0.0
41,32.0,1.0,64.0,2.0,32.0,1.0
42,32.0,1.0,64.0,2.0,32.0,2.0
43,32.0,1.0,64.0,2.0,32.0,3.0
44,32.0,1.0,64.0,2.0,32.0,4.0
45,32.0,1.0,64.0,2.0,64.0,0.0
46,32.0,1.0,64.0,2.0,64.0,1.0
47,32.0,1.0,64.0,2.0,64.0,2.0
48,32.0,1.0,64.0,2.0,64.0,3.0
49,32.0,1.0,64.0,2.0,64.0,4.0
50,32.0,1.0,64.0,4.0,32.0,0.0
51,32.0,1.0,64.0,4.0,32.0,1.0
52,32.0,1.0,64.0,4.0,32.0,2.0
53,32.0,1.0,64.0,4.0,32.0,3.0
54,32.0,1.0,64.0,4.0,32.0,4.0
55,32.0,1.0,64.0,4.0,64.0,0.0
56,32.0,1.0,64.0,4.0,64.0,1.0
57,32.0,1.0,64.0,4.0,64.0,2.0
58,32.0,1.0,64.0,4.0,64.0,3.0
59,32.0,1.0,64.0,4.0,64.0,4.0
60,32.0,4.0,32.0,1.0,32.0,0.0
61,32.0,4.0,32.0,1.0,32.0,1.0
62,32.0,4.0,32.0,1.0,32.0,2.0
63,32.0,4.0,32.0,1.0,32.0,3.0
64,32.0,4.0,32.0,1.0,32.0,4.0
65,32.0,4.0,32.0,1.0,64.0,0.0
66,32.0,4.0,32.0,1.0,64.0,1.0
67,32.0,4.0,32.0,1.0,64.0,2.0
68,32.0,4.0,32.0,1.0,64.0,3.0
69,32.0,4.0,32.0,1.0,64.0,4.0
70,32.0,4.0,32.0,2.0,32.0,0.0
71,32.0,4.0,32.0,2.0,32.0,1.0
72,32.0,4.0,32.0,2.0,32.0,2.0
73,32.0,4.0,32.0,2.0,32.0,3.0
74,32.0,4.0,32.0,2.0,32.0,4.0
75,32.0,4.0,32.0,2.0,64.0,0.0
76,32.0,4.0,32.0,2.0,64.0,1.0
77,32.0,4.0,32.0,2.0,64.0,2.0
78,32.0,4.0,32.0,2.0,64.0,3.0
79,32.0,4.0,32.0,2.0,64.0,4.0
80,32.0,4.0,32.0,4.0,32.0,0.0
81,32.0,4.0,32.0,4.0,32.0,1.0
82,32.0,4.0,32.0,4.0,32.0,2.0
83,32.0,4.0,32.0,4.0,32.0,3.0
84,32.0,4.0,32.0,4.0,32.0,4.0
85,32.0,4.0,32.0,4.0,64.0,0.0
86,32.0,4.0,32.0,4.0,64.0,1.0
87,32.0,4.0,32.0,4.0,64.0,2.0
88,32.0,4.0,32.0,4.0,64.0,3.0
89,32.0,4.0,32.0,4.0,64.0,4.0
90,32.0,4.0,64.0,1.0,32.0,0.0
91,32.0,4.0,64.0,1.0,32.0,1.0
92,32.0,4.0,64.0,1.0,32.0,2.0
93,32.0,4.0,64.0,1.0,32.0,3.0
94,32.0,4.0,64.0,1.0,32.0,4.0
95,32.0,4.0,64.0,1.0,64.0,0.0
96,32.0,4.0,64.0,1.0,64.0,1.0
97,32.0,4.0,64.0,1.0,64.0,2.0
98,32.0,4.0,64.0,1.0,64.0,3.0
99,32.0,4.0,64.0,1.0,64.0,4.0
100,32.0,4.0,64.0,2.0,32.0,0.0
101,32.0,4.0,64.0,2.0,32.0,1.0
102,32.0,4.0,64.0,2.0,32.0,2.0
103,32.0,4.0,64.0,2.0,32.0,3.0
104,32.0,4.0,64.0,2.0,32.0,4.0
105,32.0,4.0,64.0,2.0,64.0,0.0
106,32.0,4.0,64.0,2.0,64.0,1.0
107,32.0,4.0,64.0,2.0,64.0,2.0
108,32.0,4.0,64.0,2.0,64.0,3.0
109,32.0,4.0,64.0,2.0,64.0,4.0
110,32.0,4.0,64.0,4.0,32.0,0.0
111,32.0,4.0,64.0,4.0,32.0,1.0
112,32.0,4.0,64.0,4.0,32.0,2.0
113,32.0,4.0,64.0,4.0,32.0,3.0
114,32.0,4.0,64.0,4.0,32.0,4.0
115,32.0,4.0,64.0,4.0,64.0,0.0
116,32.0,4.0,64.0,4.0,64.0,1.0
117,32.0,4.0,64.0,4.0,64.0,2.0
118,32.0,4.0,64.0,4.0,64.0,3.0
119,32.0,4.0,64.0,4.0,64.0,4.0
120,32.0,8.0,32.0,1.0,32.0,0.0
121,32.0,8.0,32.0,1.0,32.0,1.0
122,32.0,8.0,32.0,1.0,32.0,2.0
123,32.0,8.0,32.0,1.0,32.0,3.0
124,32.0,8.0,32.0,1.0,32.0,4.0
125,32.0,8.0,32.0,1.0,64.0,0.0
126,32.0,8.0,32.0,1.0,64.0,1.0
127,32.0,8.0,32.0,1.0,64.0,2.0
128,32.0,8.0,32.0,1.0,64.0,3.0
129,32.0,8.0,32.0,1.0,64.0,4.0
130,32.0,8.0,32.0,2.0,32.0,0.0
131,32.0,8.0,32.0,2.0,32.0,1.0
132,32.0,8.0,32.0,2.0,32.0,2.0
133,32.0,8.0,32.0,2.0,32.0,3.0
134,32.0,8.0,32.0,2.0,32.0,4.0
135,32.0,8.0,32.0,2.0,64.0,0.0
136,32.0,8.0,32.0,2.0,64.0,1.0
137,32.0,8.0,32.0,2.0,64.0,2.0
138,32.0,8.0,32.0,2.0,64.0,3.0
139,32.0,8.0,32.0,2.0,64.0,4.0
140,32.0,8.0,32.0,4.0,32.0,0.0
141,32.0,8.0,32.0,4.0,32.0,1.0
142,32.0,8.0,32.0,4.0,32.0,2.0
143,32.0,8.0,32.0,4.0,32.0,3.0
144,32.0,8.0,32.0,4.0,32.0,4.0
145,32.0,8.0,32.0,4.0,64.0,0.0
146,32.0,8.0,32.0,4.0,64.0,1.0
147,32.0,8.0,32.0,4.0,64.0,2.0
148,32.0,8.0,32.0,4.0,64.0,3.0
149,32.0,8.0,32.0,4.0,64.0,4.0
150,32.0,8.0,64.0,1.0,32.0,0.0
151,32.0,8.0,64.0,1.0,32.0,1.0
152,32.0,8.0,64.0,1.0,32.0,2.0
153,32.0,8.0,64.0,1.0,32.0,3.0
154,32.0,8.0,64.0,1.0,32.0,4.0
155,32.0,8.0,64.0,1.0,64.0,0.0
156,32.0,8.0,64.0,1.0,64.0,1.0
157,32.0,8.0,64.0,1.0,64.0,2.0
158,32.0,8.0,64.0,1.0,64.0,3.0
159,32.0,8.0,64.0,1.0,64.0,4.0
160,32.0,8.0,64.0,2.0,32.0,0.0
161,32.0,8.0,64.0,2.0,32.0,1.0
162,32.0,8.0,64.0,2.0,32.0,2.0
163,32.0,8.0,64.0,2.0,32.0,3.0
164,32.0,8.0,64.0,2.0,32.0,4.0
165,32.0,8.0,64.0,2.0,64.0,0.0
166,32.0,8.0,64.0,2.0,64.0,1.0
167,32.0,8.0,64.0,2.0,64.0,2.0
168,32.0,8.0,64.0,2.0,64.0,3.0
169,32.0,8.0,64.0,2.0,64.0,4.0
170,32.0,8.0,64.0,4.0,32.0,0.0
171,32.0,8.0,64.0,4.0,32.0,1.0
172,32.0,8.0,64.0,4.0,32.0,2.0
173,32.0,8.0,64.0,4.0,32.0,3.0
174,32.0,8.0,64.0,4.0,32.0,4.0
175,32.0,8.0,64.0,4.0,64.0,0.0
176,32.0,8.0,64.0,4.0,64.0,1.0
177,32.0,8.0,64.0,4.0,64.0,2.0
178,32.0,8.0,64.0,4.0,64.0,3.0
179,32.0,8.0,64.0,4.0,64.0,4.0
180,64.0,1.0,32.0,1.0,32.0,0.0
181,64.0,1.0,32.0,1.0,32.0,1.0
182,64.0,1.0,32.0,1.0,32.0,2.0
183,64.0,1.0,32.0,1.0,32.0,3.0
184,64.0,1.0,32.0,1.0,32.0,4.0
185,64.0,1.0,32.0,1.0,64.0,0.0
186,64.0,1.0,32.0,1.0,64.0,1.0
187,64.0,1.0,32.0,1.0,64.0,2.0
188,64.0,1.0,32.0,1.0,64.0,3.0
189,64.0,1.0,32.0,1.0,64.0,4.0
190,64.0,1.0,32.0,2.0,32.0,0.0
191,64.0,1.0,32.0,2.0,32.0,1.0
192,64.0,1.0,32.0,2.0,32.0,2.0
193,64.0,1.0,32.0,2.0,32.0,3.0
194,64.0,1.0,32.0,2.0,32.0,4.0
195,64.0,1.0,32.0,2.0,64.0,0.0
196,64.0,1.0,32.0,2.0,64.0,1.0
197,64.0,1.0,32.0,2.0,64.0,2.0
198,64.0,1.0,32.0,2.0,64.0,3.0
199,64.0,1.0,32.0,2.0,64.0,4.0
200,64.0,1.0,32.0,4.0,32.0,0.0
201,64.0,1.0,32.0,4.0,32.0,1.0
202,64.0,1.0,32.0,4.0,32.0,2.0
203,64.0,1.0,32.0,4.0,32.0,3.0
204,64.0,1.0,32.0,4.0,32.0,4.0
205,64.0,1.0,32.0,4.0,64.0,0.0
206,64.0,1.0,32.0,4.0,64.0,1.0
207,64.0,1.0,32.0,4.0,64.0,2.0
208,64.0,1.0,32.0,4.0,64.0,3.0
209,64.0,1.0,32.0,4.0,64.0,4.0
210,64.0,1.0,64.0,1.0,32.0,0.0
211,64.0,1.0,64.0,1.0,32.0,1.0
212,64.0,1.0,64.0,1.0,32.0,2.0
213,64.0,1.0,64.0,1.0,32.0,3.0
214,64.0,1.0,64.0,1.0,32.0,4.0
215,64.0,1.0,64.0,1.0,64.0,0.0
216,64.0,1.0,64.0,1.0,64.0,1.0
217,64.0,1.0,64.0,1.0,64.0,2.0
218,64.0,1.0,64.0,1.0,64.0,3.0
219,64.0,1.0,64.0,1.0,64.0,4.0
220,64.0,1.0,64.0,2.0,32.0,0.0
221,64.0,1.0,64.0,2.0,32.0,1.0
222,64.0,1.0,64.0,2.0,32.0,2.0
223,64.0,1.0,64.0,2.0,32.0,3.0
224,64.0,1.0,64.0,2.0,32.0,4.0
225,64.0,1.0,64.0,2.0,64.0,0.0
226,64.0,1.0,64.0,2.0,64.0,1.0
227,64.0,1.0,64.0,2.0,64.0,2.0
228,64.0,1.0,64.0,2.0,64.0,3.0
229,64.0,1.0,64.0,2.0,64.0,4.0
230,64.0,1.0,64.0,4.0,32.0,0.0
231,64.0,1.0,64.0,4.0,32.0,1.0
232,64.0,1.0,64.0,4.0,32.0,2.0
233,64.0,1.0,64.0,4.0,32.0,3.0
234,64.0,1.0,64.0,4.0,32.0,4.0
235,64.0,1.0,64.0,4.0,64.0,0.0
236,64.0,1.0,64.0,4.0,64.0,1.0
237,64.0,1.0,64.0,4.0,64.0,2.0
238,64.0,1.0,64.0,4.0,64.0,3.0
239,64.0,1.0,64.0,4.0,64.0,4.0
240,64.0,4.0,32.0,1.0,32.0,0.0
