,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition
0,14.0,1.0,16.0,1.0,32.0,0.0
1,14.0,1.0,16.0,1.0,32.0,1.0
2,14.0,1.0,16.0,1.0,32.0,2.0
3,14.0,1.0,16.0,1.0,32.0,3.0
4,14.0,1.0,16.0,1.0,32.0,4.0
5,14.0,1.0,16.0,1.0,64.0,0.0
6,14.0,1.0,16.0,1.0,64.0,1.0
7,14.0,1.0,16.0,1.0,64.0,2.0
8,14.0,1.0,16.0,1.0,64.0,3.0
9,14.0,1.0,16.0,1.0,64.0,4.0
10,14.0,1.0,16.0,2.0,32.0,0.0
11,14.0,1.0,16.0,2.0,32.0,1.0
12,14.0,1.0,16.0,2.0,32.0,2.0
13,14.0,1.0,16.0,2.0,32.0,3.0
14,14.0,1.0,16.0,2.0,32.0,4.0
15,14.0,1.0,16.0,2.0,64.0,0.0
16,14.0,1.0,16.0,2.0,64.0,1.0
17,14.0,1.0,16.0,2.0,64.0,2.0
18,14.0,1.0,16.0,2.0,64.0,3.0
19,14.0,1.0,16.0,2.0,64.0,4.0
20,14.0,1.0,16.0,4.0,32.0,0.0
21,14.0,1.0,16.0,4.0,32.0,1.0
22,14.0,1.0,16.0,4.0,32.0,2.0
23,14.0,1.0,16.0,4.0,32.0,3.0
24,14.0,1.0,16.0,4.0,32.0,4.0
25,14.0,1.0,16.0,4.0,64.0,0.0
26,14.0,1.0,16.0,4.0,64.0,1.0
27,14.0,1.0,16.0,4.0,64.0,2.0
28,14.0,1.0,16.0,4.0,64.0,3.0
29,14.0,1.0,16.0,4.0,64.0,4.0
30,14.0,1.0,32.0,1.0,32.0,0.0
31,14.0,1.0,32.0,1.0,32.0,1.0
32,14.0,1.0,32.0,1.0,32.0,2.0
33,14.0,1.0,32.0,1.0,32.0,3.0
34,14.0,1.0,32.0,1.0,32.0,4.0
35,14.0,1.0,32.0,1.0,64.0,0.0
36,14.0,1.0,32.0,1.0,64.0,1.0
37,14.0,1.0,32.0,1.0,64.0,2.0
38,14.0,1.0,32.0,1.0,64.0,3.0
39,14.0,1.0,32.0,1.0,64.0,4.0
40,14.0,1.0,32.0,2.0,32.0,0.0
41,14.0,1.0,32.0,2.0,32.0,1.0
42,14.0,1.0,32.0,2.0,32.0,2.0
43,14.0,1.0,32.0,2.0,32.0,3.0
44,14.0,1.0,32.0,2.0,32.0,4.0
45,14.0,1.0,32.0,2.0,64.0,0.0
46,14.0,1.0,32.0,2.0,64.0,1.0
47,14.0,1.0,32.0,2.0,64.0,2.0
48,14.0,1.0,32.0,2.0,64.0,3.0
49,14.0,1.0,32.0,2.0,64.0,4.0
50,14.0,1.0,32.0,4.0,32.0,0.0
51,14.0,1.0,32.0,4.0,32.0,1.0
52,14.0,1.0,32.0,4.0,32.0,2.0
53,14.0,1.0,32.0,4.0,32.0,3.0
54,14.0,1.0,32.0,4.0,32.0,4.0
55,14.0,1.0,32.0,4.0,64.0,0.0
56,14.0,1.0,32.0,4.0,64.0,1.0
57,14.0,1.0,32.0,4.0,64.0,2.0
58,14.0,1.0,32.0,4.0,64.0,3.0
59,14.0,1.0,32.0,4.0,64.0,4.0
60,14.0,4.0,16.0,1.0,32.0,0.0
61,14.0,4.0,16.0,1.0,32.0,1.0
62,14.0,4.0,16.0,1.0,32.0,2.0
63,14.0,4.0,16.0,1.0,32.0,3.0
64,14.0,4.0,16.0,1.0,32.0,4.0
65,14.0,4.0,16.0,1.0,64.0,0.0
66,14.0,4.0,16.0,1.0,64.0,1.0
67,14.0,4.0,16.0,1.0,64.0,2.0
68,14.0,4.0,16.0,1.0,64.0,3.0
69,14.0,4.0,16.0,1.0,64.0,4.0
70,14.0,4.0,16.0,2.0,32.0,0.0
71,14.0,4.0,16.0,2.0,32.0,1.0
72,14.0,4.0,16.0,2.0,32.0,2.0
73,14.0,4.0,16.0,2.0,32.0,3.0
74,14.0,4.0,16.0,2.0,32.0,4.0
75,14.0,4.0,16.0,2.0,64.0,0.0
76,14.0,4.0,16.0,2.0,64.0,1.0
77,14.0,4.0,16.0,2.0,64.0,2.0
78,14.0,4.0,16.0,2.0,64.0,3.0
79,14.0,4.0,16.0,2.0,64.0,4.0
80,14.0,4.0,16.0,4.0,32.0,0.0
81,14.0,4.0,16.0,4.0,32.0,1.0
82,14.0,4.0,16.0,4.0,32.0,2.0
83,14.0,4.0,16.0,4.0,32.0,3.0
84,14.0,4.0,16.0,4.0,32.0,4.0
85,14.0,4.0,16.0,4.0,64.0,0.0
86,14.0,4.0,16.0,4.0,64.0,1.0
87,14.0,4.0,16.0,4.0,64.0,2.0
88,14.0,4.0,16.0,4.0,64.0,3.0
89,14.0,4.0,16.0,4.0,64.0,4.0
90,14.0,4.0,32.0,1.0,32.0,0.0
91,14.0,4.0,32.0,1.0,32.0,1.0
92,14.0,4.0,32.0,1.0,32.0,2.0
93,14.0,4.0,32.0,1.0,32.0,3.0
94,14.0,4.0,32.0,1.0,32.0,4.0
95,14.0,4.0,32.0,1.0,64.0,0.0
96,14.0,4.0,32.0,1.0,64.0,1.0
97,14.0,4.0,32.0,1.0,64.0,2.0
98,14.0,4.0,32.0,1.0,64.0,3.0
99,14.0,4.0,32.0,1.0,64.0,4.0
100,14.0,4.0,32.0,2.0,32.0,0.0
101,14.0,4.0,32.0,2.0,32.0,1.0
102,14.0,4.0,32.0,2.0,32.0,2.0
103,14.0,4.0,32.0,2.0,32.0,3.0
104,14.0,4.0,32.0,2.0,32.0,4.0
105,14.0,4.0,32.0,2.0,64.0,0.0
106,14.0,4.0,32.0,2.0,64.0,1.0
107,14.0,4.0,32.0,2.0,64.0,2.0
108,14.0,4.0,32.0,2.0,64.0,3.0
109,14.0,4.0,32.0,2.0,64.0,4.0
110,14.0,4.0,32.0,4.0,32.0,0.0
111,14.0,4.0,32.0,4.0,32.0,1.0
112,14.0,4.0,32.0,4.0,32.0,2.0
113,14.0,4.0,32.0,4.0,32.0,3.0
114,14.0,4.0,32.0,4.0,32.0,4.0
115,14.0,4.0,32.0,4.0,64.0,0.0
116,14.0,4.0,32.0,4.0,64.0,1.0
117,14.0,4.0,32.0,4.0,64.0,2.0
118,14.0,4.0,32.0,4.0,64.0,3.0
119,14.0,4.0,32.0,4.0,64.0,4.0
120,14.0,8.0,16.0,1.0,32.0,0.0
121,14.0,8.0,16.0,1.0,32.0,1.0
122,14.0,8.0,16.0,1.0,32.0,2.0
123,14.0,8.0,16.0,1.0,32.0,3.0
124,14.0,8.0,16.0,1.0,32.0,4.0
125,14.0,8.0,16.0,1.0,64.0,0.0
126,14.0,8.0,16.0,1.0,64.0,1.0
127,14.0,8.0,16.0,1.0,64.0,2.0
128,14.0,8.0,16.0,1.0,64.0,3.0
129,14.0,8.0,16.0,1.0,64.0,4.0
130,14.0,8.0,16.0,2.0,32.0,0.0
131,14.0,8.0,16.0,2.0,32.0,1.0
132,14.0,8.0,16.0,2.0,32.0,2.0
133,14.0,8.0,16.0,2.0,32.0,3.0
134,14.0,8.0,16.0,2.0,32.0,4.0
135,14.0,8.0,16.0,2.0,64.0,0.0
136,14.0,8.0,16.0,2.0,64.0,1.0
137,14.0,8.0,16.0,2.0,64.0,2.0
138,14.0,8.0,16.0,2.0,64.0,3.0
139,14.0,8.0,16.0,2.0,64.0,4.0
140,14.0,8.0,16.0,4.0,32.0,0.0
141,14.0,8.0,16.0,4.0,32.0,1.0
142,14.0,8.0,16.0,4.0,32.0,2.0
143,14.0,8.0,16.0,4.0,32.0,3.0
144,14.0,8.0,16.0,4.0,32.0,4.0
145,14.0,8.0,16.0,4.0,64.0,0.0
146,14.0,8.0,16.0,4.0,64.0,1.0
147,14.0,8.0,16.0,4.0,64.0,2.0
148,14.0,8.0,16.0,4.0,64.0,3.0
149,14.0,8.0,16.0,4.0,64.0,4.0
150,14.0,8.0,32.0,1.0,32.0,0.0
151,14.0,8.0,32.0,1.0,32.0,1.0
152,14.0,8.0,32.0,1.0,32.0,2.0
153,14.0,8.0,32.0,1.0,32.0,3.0
154,14.0,8.0,32.0,1.0,32.0,4.0
155,14.0,8.0,32.0,1.0,64.0,0.0
156,14.0,8.0,32.0,1.0,64.0,1.0
157,14.0,8.0,32.0,1.0,64.0,2.0
158,14.0,8.0,32.0,1.0,64.0,3.0
159,14.0,8.0,32.0,1.0,64.0,4.0
