,From,To,Taxonomy
0,P10719,10116.ENSRNOP00000003965,10116
1,P15289,9606.ENSP00000216124,9606
2,P20933,9606.ENSP00000264595,9606
3,Q9UII2,9606.ENSP00000335203,9606
4,P25705,9606.ENSP00000381736,9606
5,P00829,9913.ENSBTAP00000017710,9913
6,P28039,9606.ENSP00000479664,9606
7,P30919,10116.ENSRNOP00000000120,10116
8,P01019,9606.ENSP00000355627,9606
9,Q9V496,7227.FBpp0088252,7227
10,P02654,9606.ENSP00000465356,9606
11,Q04728,4932.YMR062C,4932
12,P01096,9913.ENSBTAP00000008319,9913
13,P17697,9913.ENSBTAP00000007324,9913
14,P02462,9606.ENSP00000364979,9606
15,P19633,10116.ENSRNOP00000009344,10116
16,P80067,10116.ENSRNOP00000022342,10116
17,P14091,9606.ENSP00000350911,9606
18,P06797,10090.ENSMUSP00000021933,10090
19,P0CJ48,3702.AT1G29920.1,3702
20,Q99616,9606.ENSP00000225844,9606
21,P01027,10090.ENSMUSP00000024988,10090
22,Q96252,3702.AT5G47030.1,3702
23,Q12165,4932.YDL004W,4932
24,P02701,9031.ENSGALP00000003846,9031
25,P18859,9606.ENSP00000389649,9606
26,Q42687,3055.EDO97493,3055
27,P05631,9913.ENSBTAP00000018505,9913
28,P38077,4932.YBR039W,4932
29,Q09544,6239.F58F12.1,6239
30,P18659,9541.XP_005579786.1,9541
31,P01097,4932.YDL181W,4932
32,P22027,9913.ENSBTAP00000020228,9913
33,P14133,3659.XP_004168020.1,3659
34,P07926,9913.ENSBTAP00000007538,9913
35,P18657,9541.XP_005589612.1,9541
36,P56595,9612.ENSCAFP00000032584,9612
37,P32876,9913.ENSBTAP00000024402,9913
38,P13619,9913.ENSBTAP00000008447,9913
39,P21571,10116.ENSRNOP00000002116,10116
40,Q9Y240,9606.ENSP00000250340,9606
41,O75596,9606.ENSP00000299642,9606
42,P04653,9940.ENSOARP00000011026,9940
43,P05814,9606.ENSP00000341030,9606
44,P39037,9823.ENSSSCP00000009875,9823
45,P11839,9940.ENSOARP00000011245,9940
46,P25796,10141.ENSCPOP00000008547,10141
47,P15086,9606.ENSP00000417222,9606
48,P13671,9606.ENSP00000263413,9606
49,P13183,9913.ENSBTAP00000054163,9913
50,P80432,10116.ENSRNOP00000049222,10116
51,P10176,9606.ENSP00000321260,9606
52,P80433,10116.ENSRNOP00000028754,10116
53,P79202,9940.ENSOARP00000004130,9940
54,P17178,10116.ENSRNOP00000023152,10116
55,P10909,9606.ENSP00000315130,9606
56,Q39055,3702.AT2G31955.2,3702
57,P02703,9823.ENSSSCP00000001686,9823
58,Q9FN42,3702.AT5G23140.1,3702
59,Q16740,9606.ENSP00000245816,9606
60,P22063,10116.ENSRNOP00000012190,10116
61,P12387,10141.ENSCPOP00000003785,10141
62,Q02246,9606.ENSP00000330633,9606
63,P02748,9606.ENSP00000263408,9606
64,Q8NI60,9606.ENSP00000355741,9606
65,P04037,4932.YGL187C,4932
66,P11240,10116.ENSRNOP00000025525,10116
67,P00424,4932.YNL052W,4932
68,P00428,9913.ENSBTAP00000024678,9913
69,P24311,9606.ENSP00000417656,9606
70,P17177,9986.ENSOCUP00000002930,9986
71,Q9LJE4,3702.AT3G13470.1,3702
72,Q95M17,9913.ENSBTAP00000000324,9913
73,Q9N2D2,9483.ENSCJAP00000006271,9483
74,Q86T13,9606.ENSP00000353013,9606
75,Q9MV14,2711.XP_006479664.1,2711
76,P02466,10116.ENSRNOP00000016423,10116
77,P06681,9606.ENSP00000299367,9606
78,P48747,9986.ENSOCUP00000010939,9986
79,P23805,9913.ENSBTAP00000018649,9913
80,P00426,9913.ENSBTAP00000022949,9913
81,P20674,9606.ENSP00000317780,9606
82,P80431,10116.ENSRNOP00000054370,10116
83,P10612,9823.ENSSSCP00000023389,9823
84,P07141,10090.ENSMUSP00000014743,10090
85,P31081,9913.ENSBTAP00000055431,9913
86,Q05538,4081.Solyc10g055810.1.1,4081
87,P00794,9913.ENSBTAP00000013970,9913
88,Q8TDQ1,9606.ENSP00000462309,9606
89,P05371,10116.ENSRNOP00000022095,10116
90,P01024,9606.ENSP00000245907,9606
91,P08125,9031.ENSGALP00000024087,9031
92,O49354,3702.AT2G30920.1,3702
93,P55954,6239.Y37D8A.14,6239
94,Q9SJ12,3702.AT2G21870.1,3702
95,P83484,3702.AT5G08690.1,3702
96,P05630,9913.ENSBTAP00000000721,9913
97,Q2VG86,7091.BGIBMGA005173-TA,7091
98,P05626,4932.YPL078C,4932
99,P12113,3055.EDP08312,3055
100,Q96251,3702.AT5G13450.1,3702
101,A8J785,3055.EDP00272,3055
102,P21611,9031.ENSGALP00000039454,9031
103,P61769,9606.ENSP00000452780,9606
104,Q15582,9606.ENSP00000416330,9606
105,Q5AMT2,5476.C4YHM1,5476
106,P15703,4932.YGR282C,4932
107,P08236,9606.ENSP00000302728,9606
108,Q9LW15,3702.AT3G15640.1,3702
109,P30348,10116.ENSRNOP00000003745,10116
110,O55038,10090.ENSMUSP00000023840,10090
111,Q9NRR1,9606.ENSP00000303550,9606
112,P01037,9606.ENSP00000305731,9606
113,P09228,9606.ENSP00000307540,9606
114,Q94AL8,3702.AT1G29395.1,3702
115,Q9ZWA9,3702.AT1G03890.1,3702
116,Q00657,10116.ENSRNOP00000023326,10116
117,P81534,9606.ENSP00000324633,9606
118,Q07092,9606.ENSP00000362776,9606
119,P01189,9606.ENSP00000384092,9606
120,P12075,10116.ENSRNOP00000022487,10116
121,Q1W0Y2,9823.ENSSSCP00000015039,9823
122,P14622,9913.ENSBTAP00000048633,9913
123,O65220,3702.AT5G35100.1,3702
124,Q42512,3702.AT2G42540.2,3702
125,O75629,9606.ENSP00000359540,9606
126,P08796,44689.DDB0191156,44689
127,P0DML2,9606.ENSP00000316416,9606
128,P52013,6239.F31C3.1,6239
129,P24847,4565.Traes_2DL_D0B92E21B.1,4565
130,P26259,4577.GRMZM2G027835_P01,4577
131,P59665,9606.ENSP00000372139,9606
132,Q9LU10,3702.AT5G39830.1,3702
133,P12074,9606.ENSP00000229379,9606
134,P24310,9606.ENSP00000292907,9606
135,P13184,9913.ENSBTAP00000006715,9913
136,P80162,9606.ENSP00000226317,9606
137,P02778,9606.ENSP00000305651,9606
138,P82869,3702.AT3G15520.1,3702
139,P28325,9606.ENSP00000307132,9606
140,O23240,3702.AT4G36400.2,3702
141,P13073,9606.ENSP00000457513,9606
142,P10888,10116.ENSRNOP00000024033,10116
143,P15954,9606.ENSP00000425759,9606
144,P16221,10116.ENSRNOP00000019679,10116
145,P00189,9913.ENSBTAP00000009106,9913
146,A6Q0K5,3055.EDP02778,3055
147,Q96242,3702.AT5G42650.1,3702
148,P43497,4932.YKL096W-A,4932
149,P01034,9606.ENSP00000381448,9606
150,P19313,10116.ENSRNOP00000044719,10116
151,P46162,9913.ENSBTAP00000055285,9913
152,Q9SEL7,3702.AT4G18370.1,3702
153,Q43725,3702.AT3G59760.1,3702
154,P47178,4932.YJR150C,4932
155,Q01859,4530.OS05T0553000-02,4530
156,P01888,9913.ENSBTAP00000016359,9913
157,P19483,9913.ENSBTAP00000003259,9913
158,Q9C5A9,3702.AT5G08680.1,3702
159,P06576,9606.ENSP00000262030,9606
160,P13621,9913.ENSBTAP00000024326,9913
161,P02721,9913.ENSBTAP00000032359,9913
162,P26776,9823.ENSSSCP00000003227,9823
163,P35434,10116.ENSRNOP00000020670,10116
164,P48047,9606.ENSP00000290299,9606
165,D4A540,10116.ENSRNOP00000030526,10116
166,Q00972,10116.ENSRNOP00000026466,10116
167,Q02337,9913.ENSBTAP00000000573,9913
168,Q9NL89,7091.BGIBMGA011608-TA,7091
169,O11780,9823.ENSSSCP00000015228,9823
170,Q9SR37,3702.AT3G09260.1,3702
171,Q2EN81,9823.ENSSSCP00000012823,9823
172,P01887,10090.ENSMUSP00000099534,10090
173,Q6ER94,4530.OS02T0537700-01,4530
174,Q10NX8,4530.OS03T0255100-01,4530
175,Q86WA6,9606.ENSP00000369739,9606
176,P30049,9606.ENSP00000215375,9606
177,Q9LIR6,3702.AT3G23920.1,3702
178,P22068,4896.SPAC222.12c.1,4896
179,Q13825,9606.ENSP00000364883,9606
180,Q13145,9606.ENSP00000364683,9606
181,Q1EBV7,3702.AT2G26900.1,3702
182,P50895,9606.ENSP00000270233,9606
183,P07151,10116.ENSRNOP00000023017,10116
184,P54967,3702.AT2G43360.1,3702
185,Q9FXT4,4530.OS10T0493600-01,4530
186,Q8TD06,9606.ENSP00000308606,9606
187,P46367,4932.YOR374W,4932
188,P35859,10116.ENSRNOP00000020233,10116
189,P02817,9913.ENSBTAP00000016034,9913
190,P01500,7460.GB40697-PA,7460
191,P19034,9913.ENSBTAP00000027393,9913
192,P18658,9541.XP_005595586.1,9541
193,P04639,10116.ENSRNOP00000065206,10116
194,P06727,9606.ENSP00000350425,9606
195,P14217,3055.EDP04612,3055
196,P16860,9606.ENSP00000365651,9606
197,P02648,9612.ENSCAFP00000019630,9612
198,P02649,9606.ENSP00000252486,9606
199,P02659,9031.ENSGALP00000024373,9031
200,Q6UW56,9606.ENSP00000484228,9606
201,O43827,9606.ENSP00000366015,9606
202,P01008,9606.ENSP00000356671,9606
203,P19035,9913.ENSBTAP00000016453,9913
204,O14791,9606.ENSP00000317674,9606
205,P14630,10116.ENSRNOP00000001126,10116
206,Q03472,9823.ENSSSCP00000016606,9823
207,P02763,9606.ENSP00000259396,9606
208,P22325,10141.ENSCPOP00000011412,10141
209,P00505,9606.ENSP00000245206,9606
210,P00507,10116.ENSRNOP00000015956,10116
211,P42255,5061.CADANGAP00011686,5061
212,P19414,4932.YLR304C,4932
213,Q9R0X4,10090.ENSMUSP00000026324,10090
214,O80800,3702.AT1G65290.1,3702
215,P52505,9913.ENSBTAP00000008382,9913
216,Q8LEE7,3702.AT1G32350.1,3702
217,P15497,9913.ENSBTAP00000002914,9913
218,P02652,9606.ENSP00000356969,9606
219,P17690,9913.ENSBTAP00000002492,9913
220,Q5XM24,44689.DDB0231036,44689
221,P46637,3702.AT4G08900.1,3702
222,Q8RVH5,3847.GLYMA19G42490.1,3847
223,P23035,9986.ENSOCUP00000015803,9986
224,P01011,9606.ENSP00000450540,9606
225,P12344,9913.ENSBTAP00000009440,9913
226,Q9FUT3,3702.AT4G28630.1,3702
227,P09470,10090.ENSMUSP00000001963,10090
228,P09479,9031.ENSGALP00000015122,9031
229,Q28989,9823.ENSSSCP00000009536,9823
230,P07634,9823.ENSSSCP00000003722,9823
231,P03950,9606.ENSP00000336762,9606
232,P41361,9913.ENSBTAP00000005713,9913
233,A9UGV7,4530.OS05T0541750-01,4530
234,P02647,9606.ENSP00000236850,9606
235,P02656,9606.ENSP00000227667,9606
236,P05090,9606.ENSP00000345179,9606
237,P02749,9606.ENSP00000205948,9606
238,Q9SU63,3702.AT3G48000.1,3702
239,P20000,9913.ENSBTAP00000011521,9913
240,Q8S528,3702.AT1G23800.1,3702
241,Q0WUC5,3702.AT3G44370.1,3702
242,P01161,10116.ENSRNOP00000011005,10116
243,P02655,9606.ENSP00000466775,9606
244,Q9BXJ3,9606.ENSP00000302274,9606
245,Q9BXJ0,9606.ENSP00000431140,9606
246,P09871,9606.ENSP00000385035,9606
247,P43165,10116.ENSRNOP00000025848,10116
248,P30988,9606.ENSP00000352561,9606
249,P07267,4932.YPL154C,4932
250,P53634,9606.ENSP00000227266,9606
251,P04778,3702.AT1G29930.1,3702
252,P00730,9913.ENSBTAP00000009745,9913
253,P09954,9823.ENSSSCP00000017542,9823
254,B8JLQ9,7955.ENSDARP00000097989,7955
255,P30100,10116.ENSRNOP00000049722,10116
256,P02747,9606.ENSP00000363770,9606
257,P04003,9606.ENSP00000356037,9606
258,P23589,10090.ENSMUSP00000060457,10090
259,O43852,9606.ENSP00000438248,9606
260,P02662,9913.ENSBTAP00000010119,9913
261,P02663,9913.ENSBTAP00000006590,9913
262,P12637,9612.ENSCAFP00000014348,9612
263,P08185,9606.ENSP00000342850,9606
264,Q6UW01,9606.ENSP00000267406,9606
265,Q9NTU7,9606.ENSP00000064571,9606
266,Q16790,9606.ENSP00000367608,9606
267,P41547,9612.ENSCAFP00000012567,9612
268,P28491,9823.ENSSSCP00000014615,9823
269,P07154,10116.ENSRNOP00000025462,10116
270,P31211,10116.ENSRNOP00000012500,10116
271,Q9D6Y1,10090.ENSMUSP00000027988,10090
272,Q8SXL2,7227.FBpp0082230,7227
273,O15467,9606.ENSP00000478024,9606
274,Q9Y258,9606.ENSP00000378365,9606
275,P10855,10090.ENSMUSP00000001008,10090
276,P80098,9606.ENSP00000367832,9606
277,P20160,9606.ENSP00000233997,9606
278,P15156,10036.XP_005066079.1,10036
279,P07221,9986.ENSOCUP00000024484,9986
280,P19204,9031.ENSGALP00000036165,9031
281,P27489,4081.Solyc12g011450.1.1,4081
282,Q9XF88,3702.AT3G08940.2,3702
283,P15085,9606.ENSP00000011292,9606
284,P09955,9823.ENSSSCP00000012464,9823
285,P14384,9606.ENSP00000448517,9606
286,P78556,9606.ENSP00000351671,9606
287,O00626,9606.ENSP00000219235,9606
288,P13500,9606.ENSP00000225831,9606
289,Q12127,4932.YLR110C,4932
290,Q8N6Q3,9606.ENSP00000479536,9606
291,Q15762,9606.ENSP00000280200,9606
292,Q01151,9606.ENSP00000368450,9606
293,P26732,7091.BGIBMGA014205-TA,7091
294,P15393,10116.ENSRNOP00000062325,10116
295,Q6UWJ8,9606.ENSP00000363139,9606
296,Q23997,7227.FBpp0086257,7227
297,P13806,9986.ENSOCUP00000024431,9986
298,Q8N126,9606.ENSP00000357106,9606
299,P20507,3055.EDP04241,3055
300,P24258,3055.EDP04240,3055
301,P18915,9913.ENSBTAP00000012525,9913
302,Q94K85,3702.AT4G01610.1,3702
303,Q9BWV1,9606.ENSP00000418663,9606
304,Q8N4F0,9606.ENSP00000170150,9606
305,P17213,9606.ENSP00000262865,9606
306,Q9NR16,9606.ENSP00000393474,9606
307,P09440,4932.YBR084W,4932
308,P22748,9606.ENSP00000300900,9606
309,P18761,10090.ENSMUSP00000030817,10090
310,Q16602,9606.ENSP00000386972,9606
311,P52193,9913.ENSBTAP00000020111,9913
312,Q9SLY8,4530.OS07T0246200-03,4530
313,P18418,10116.ENSRNOP00000004091,10116
314,Q9LXD6,3702.AT5G09730.1,3702
315,P31720,10116.ENSRNOP00000017385,10116
316,P02746,9606.ENSP00000313967,9606
317,P31722,10116.ENSRNOP00000017065,10116
318,P00736,9606.ENSP00000438615,9606
319,P35720,9913.ENSBTAP00000021075,9913
320,P14211,10090.ENSMUSP00000003912,10090
321,P26729,7091.BGIBMGA011929-TA,7091
322,Q9R100,10090.ENSMUSP00000029871,10090
323,P27797,9606.ENSP00000320866,9606
324,P11021,9606.ENSP00000324173,9606
325,Q64277,10090.ENSMUSP00000098796,10090
326,P18892,9913.ENSBTAP00000042450,9913
327,O00478,9606.ENSP00000244519,9606
328,Q6UX41,9606.ENSP00000342197,9606
329,P02745,9606.ENSP00000363773,9606
330,Q07021,9606.ENSP00000225698,9606
331,Q9BXI9,9606.ENSP00000338812,9606
332,Q6UB35,9606.ENSP00000478253,9606
333,Q16568,9606.ENSP00000296777,9606
334,O09165,10090.ENSMUSP00000003554,10090
335,P31235,9986.ENSOCUP00000009133,9986
336,P51868,10116.ENSRNOP00000021846,10116
337,P14066,4932.YDL069C,4932
338,Q62192,10090.ENSMUSP00000022124,10090
339,P24807,10090.ENSMUSP00000057983,10090
