yourlist:M20210331A94466D2655679D1FD8953E075198DA81B51CCG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Signal peptide	Proteomes	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUBKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)
A1X158	A1X158	FP1V1_PERVI	reviewed	Foot protein 1 variant 1	fp-1	Perna viridis (Asian green mussel) (Mytilus viridis)	561	73031	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:15203964, ECO:0000269|PubMed:19584055"		Metazoa		Mollusca	Perna viridis (Asian green mussel) (Mytilus viridis)
D3Z9M3	D3Z9M3	GLIAD_RAT	reviewed	Gliadoralin-A		Rattus norvegicus (Rat)	109	10116	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:23637100"	UP000002494: Chromosome 4, UP000234681: Chromosome 4, UP000234681: Unassembled WGS sequence	Metazoa		Chordata	Rattus norvegicus (Rat)
P42264	P42264	GRIK3_RAT	reviewed	Glutamate receptor ionotropic, kainate 3 (GluK3) (Glutamate receptor 7) (GluR-7) (GluR7)	Grik3 Glur7	Rattus norvegicus (Rat)	919	10116	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:20951142"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
C9K4X8	C9K4X8	GSS_PATPE	reviewed	Gonad-stimulating substance (Relaxin-like gonad-stimulating peptide) [Cleaved into: Gonad-stimulating substance B chain; Gonad-stimulating substance A chain]	GSS RGP	Patiria pectinifera (Starfish) (Asterina pectinifera)	116	7594	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:19470645"		Metazoa		Echinodermata	Patiria pectinifera (Starfish) (Asterina pectinifera)
P55203	P55203	GUC2D_BOVIN	reviewed	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (Guanylate cyclase 2D, retinal) (Guanylate cyclase E) (GC-E) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	GUCY2D GUC2D	Bos taurus (Bovine)	1110	9913	SIGNAL 1..56;  /evidence="ECO:0000269|PubMed:8102054"	UP000009136: Unplaced	Metazoa		Chordata	Bos taurus (Bovine)
Q2U4L7	Q2U4L7	GTAA_ASPOR	reviewed	Glutaminase A (EC 3.5.1.2)	gtaA AO090020000289	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	690	510516	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:10952006"	UP000006564: Chromosome 6	Fungi	Dikarya	Ascomycota	Aspergillus oryzae (Yellow koji mold)
P01824	P01824	HV439_HUMAN	reviewed	Immunoglobulin heavy variable 4-39 (Ig heavy chain V-II region WAH)	IGHV4-39	Homo sapiens (Human)	125	9606	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:6806818"	UP000005640: Chromosome 14	Metazoa		Chordata	Homo sapiens (Human)
P86100	P86100	HYAL1_MESMA	reviewed	Hyaluronidase-1 (BmHYA1) (HYA1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Venom spreading factor)		Mesobuthus martensii (Manchurian scorpion) (Buthus martensii)	410	34649	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:18611448"		Metazoa		Arthropoda	Mesobuthus martensii (Manchurian scorpion) (Buthus martensii)
C4NZN9	C4NZN9	HYAST_HYAAR	reviewed	Hyastatin		Hyas araneus (Atlantic lyre crab) (Great spider crab)	131	361634	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:19487032"		Metazoa		Arthropoda	Hyas araneus (Atlantic lyre crab) (Great spider crab)
P08069	P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367	9606	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:2877871, ECO:0000269|PubMed:8257688"	UP000005640: Chromosome 15	Metazoa		Chordata	Homo sapiens (Human)
